domain,ip,category,host,dest_rtt,bucket,reached,last_hop,last_asn
pap.gov.pk,103.226.217.162,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",40.2,in-PK (<50ms),False,110.93.202.170,
pbs.gov.pk,113.197.54.86,Pakistan,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",27.4,in-PK (<50ms),True,113.197.54.86,AS23888
pcsir.gov.pk,203.101.184.77,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",206.9,far (>150ms),False,72.52.21.194,AS32787
pcsw.punjab.gov.pk,103.226.216.120,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",39.9,in-PK (<50ms),False,110.93.202.170,
pdma.gop.pk,103.226.216.186,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",39.8,in-PK (<50ms),False,110.93.202.170,
pemra.gov.pk,203.101.184.81,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",200.1,far (>150ms),False,72.52.21.194,AS32787
pid.gov.pk,203.124.45.87,Pakistan,"COMSATS - Commission on Science and Technology for, PK",4.9,same-city (<10ms),True,203.124.45.87,AS7590
pitb.gov.pk,103.226.216.151,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",40.0,in-PK (<50ms),False,110.93.202.170,
pmo.gov.pk,203.101.184.118,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",195.9,far (>150ms),False,72.52.21.194,AS32787
ppra.gov.pk,59.103.225.210,Pakistan,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",24.8,in-PK (<50ms),True,59.103.225.210,AS17557
pra.gop.pk,58.65.170.119,Pakistan,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",8.1,same-city (<10ms),False,103.213.108.68,
pral.com.pk,103.125.60.72,Pakistan,"FBR-AS-AP - Federal Board of Revenue, PK",3.9,same-city (<10ms),False,119.63.137.130,
pseb.org.pk,125.209.103.90,Pakistan,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",4.1,same-city (<10ms),True,125.209.103.90,AS9260
pts.org.pk,175.107.240.161,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",23.5,in-PK (<50ms),False,110.93.252.106,
punjab.gov.pk,103.226.216.120,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",39.8,in-PK (<50ms),False,110.93.202.170,
sacgb.gov.pk,210.56.27.2,Pakistan,"COMSATS - Commission on Science and Technology for, PK",4.7,same-city (<10ms),True,210.56.27.2,AS7590
secp.gov.pk,104.20.33.223,CDN,Cloudflare,24.0,in-PK (<50ms),True,104.20.33.223,AS13335
aust.edu.pk,210.2.169.216,Pakistan,"LDN-AS-PK - LINKdotNET Telecom Limited, PK",24.1,in-PK (<50ms),True,210.2.169.216,AS23966
bisehyd.edu.pk,103.11.220.131,Pakistan,"GESNET-AS-AP - Gemnet Enterprise Solutions Pvt Ltd, PK",27.5,in-PK (<50ms),False,203.80.128.253,AS58893
digiskills.pk,58.27.231.139,Pakistan,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",24.5,in-PK (<50ms),False,58.27.211.227,AS38264
hec.gov.pk,111.68.100.163,Pakistan,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",4.5,same-city (<10ms),False,103.213.108.66,
hitecuni.edu.pk,210.2.169.136,Pakistan,"LDN-AS-PK - LINKdotNET Telecom Limited, PK",23.2,in-PK (<50ms),False,119.30.105.222,AS58470
iqra.edu.pk,103.138.162.150,Pakistan,"IQRAUNIVERSITY-AS-AP - Iqra University, PK",25.1,in-PK (<50ms),False,110.93.215.29,AS38193
isra.edu.pk,103.12.58.100,Pakistan,"GESNET-AS-AP - Gemnet Enterprise Solutions Pvt Ltd, PK",27.2,in-PK (<50ms),True,103.12.58.100,AS58893
jinnah.edu.pk,210.2.169.195,Pakistan,"LDN-AS-PK - LINKdotNET Telecom Limited, PK",24.4,in-PK (<50ms),True,210.2.169.195,AS23966
kiu.edu.pk,210.56.9.86,Pakistan,"COMSATS - Commission on Science and Technology for, PK",4.4,same-city (<10ms),True,210.56.9.86,AS7590
maju.edu.pk,58.27.134.39,Pakistan,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",27.7,in-PK (<50ms),False,58.27.134.39,AS38264
nu.edu.pk,203.124.44.78,Pakistan,"COMSATS - Commission on Science and Technology for, PK",4.3,same-city (<10ms),False,119.63.134.94,AS38193
pmc.edu.pk,203.124.44.75,Pakistan,"COMSATS - Commission on Science and Technology for, PK",4.0,same-city (<10ms),False,119.63.134.94,AS38193
pucit.edu.pk,202.147.169.205,Pakistan,"LDN-AS-PK - LINKdotNET Telecom Limited, PK",40.7,in-PK (<50ms),True,202.147.169.205,AS23966
pvtc.gop.pk,103.111.161.192,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",39.6,in-PK (<50ms),False,110.93.202.170,
rmc.edu.pk,210.56.11.155,Pakistan,"COMSATS - Commission on Science and Technology for, PK",5.3,same-city (<10ms),True,210.56.11.155,AS7590
tevta.gop.pk,202.142.172.236,Pakistan,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",40.5,in-PK (<50ms),True,202.142.172.236,AS9260
uaf.edu.pk,203.124.33.162,Pakistan,"COMSATS - Commission on Science and Technology for, PK",4.5,same-city (<10ms),True,203.124.33.162,AS7590
fesco.com.pk,163.61.25.38,Pakistan,"PITC1-AS-AP - PITC, PK",39.9,in-PK (<50ms),False,149.40.227.93,AS174
gepco.com.pk,163.61.25.23,Pakistan,"PITC1-AS-AP - PITC, PK",39.8,in-PK (<50ms),False,149.40.227.93,AS174
iesco.com.pk,210.56.28.14,Pakistan,"COMSATS - Commission on Science and Technology for, PK",4.3,same-city (<10ms),False,119.63.134.94,AS38193
lesco.gov.pk,116.58.54.125,Pakistan,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",41.8,in-PK (<50ms),True,116.58.54.125,AS17563
mepco.com.pk,163.61.25.38,Pakistan,"PITC1-AS-AP - PITC, PK",39.8,in-PK (<50ms),False,149.40.227.93,AS174
qesco.com.pk,163.61.25.23,Pakistan,"PITC1-AS-AP - PITC, PK",39.6,in-PK (<50ms),False,149.40.227.93,AS174
sepco.com.pk,163.61.25.38,Pakistan,"PITC1-AS-AP - PITC, PK",39.6,in-PK (<50ms),False,149.40.227.93,AS174
ntdc.gov.pk,119.156.239.229,Pakistan,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",23.3,in-PK (<50ms),False,110.93.253.208,
wapda.gov.pk,163.61.25.38,Pakistan,"PITC1-AS-AP - PITC, PK",39.6,in-PK (<50ms),False,149.40.227.93,AS174
sngpl.com.pk,58.27.202.230,Pakistan,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",24.8,in-PK (<50ms),True,58.27.202.230,AS38264
pitc.com.pk,163.61.25.12,Pakistan,"PITC1-AS-AP - PITC, PK",39.7,in-PK (<50ms),False,149.40.227.93,AS174
comsats.net.pk,210.56.11.242,Pakistan,"COMSATS - Commission on Science and Technology for, PK",4.4,same-city (<10ms),True,210.56.11.242,AS7590
nayatel.com,203.82.48.231,Pakistan,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",4.2,same-city (<10ms),True,203.82.48.231,AS23674
nexlinx.net.pk,202.59.80.26,Pakistan,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",41.2,in-PK (<50ms),True,202.59.80.26,AS17563
ntc.net.pk,203.101.184.82,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",196.5,far (>150ms),False,72.52.21.194,AS32787
ptcl.com.pk,221.120.226.61,Pakistan,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",44.9,in-PK (<50ms),False,116.71.241.234,AS17557
stormfiber.com,203.101.172.139,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",26.2,in-PK (<50ms),True,203.101.172.139,AS9541
ufone.com,59.103.225.37,Pakistan,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",24.5,in-PK (<50ms),True,59.103.225.37,AS17557
zong.com.pk,209.150.154.189,Pakistan,"CMPAKLIMITED-AS-AP - CMPak Limited, PK",4.9,same-city (<10ms),True,209.150.154.189,AS59257
adamjeeinsurance.com,149.40.232.33,Pakistan,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",3.7,same-city (<10ms),False,119.63.137.130,
alfalahamc.com,175.107.198.164,Pakistan,"CYBERNET-APII - Cyber Internet Services Pakistan, PK",23.7,in-PK (<50ms),False,110.93.252.86,
silkbank.com.pk,124.29.248.249,Pakistan,"CYBERNET-APII - Cyber Internet Services Pakistan, PK",28.1,in-PK (<50ms),False,124.29.248.249,AS24440
ubank.com.pk,202.141.231.86,Pakistan,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",25.7,in-PK (<50ms),True,202.141.231.86,AS9260
ubldigital.com,103.8.14.50,Pakistan,"UBL-PK - 13 Floor UBL Building, PK",24.4,in-PK (<50ms),False,110.93.255.169,
ztbl.com.pk,203.101.184.80,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",206.6,far (>150ms),False,72.52.25.142,AS32787
crcp.org.pk,103.152.255.10,Pakistan,"MULTINET-IE-AS-AP - Multinet Broadband, PK",8.9,same-city (<10ms),True,103.152.255.10,AS135523
phc.org.pk,116.58.11.236,Pakistan,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",39.4,in-PK (<50ms),False,110.93.202.170,
ppaf.org.pk,115.186.178.82,Pakistan,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",4.9,same-city (<10ms),True,115.186.178.82,AS23674
prsp.org.pk,116.58.40.29,Pakistan,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",39.9,in-PK (<50ms),False,202.59.80.2,AS17563
yansrhr.org,210.2.169.195,Pakistan,"LDN-AS-PK - LINKdotNET Telecom Limited, PK",24.0,in-PK (<50ms),True,210.2.169.195,AS23966
ogdcl.com,203.124.33.195,Pakistan,"COMSATS - Commission on Science and Technology for, PK",5.4,same-city (<10ms),True,203.124.33.195,AS7590
parco.com.pk,175.107.195.175,Pakistan,"CYBERNET-APII - Cyber Internet Services Pakistan, PK",,no-result,,,
paec.gov.pk,203.101.184.82,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",,no-result,,,
petroleum.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",,no-result,,,
dunya.com.pk,117.20.18.153,Pakistan,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",39.7,in-PK (<50ms),True,117.20.18.153,AS38193
dunyanews.tv,202.142.167.148,Pakistan,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",,no-result,,,
gnnhd.tv,103.178.96.22,Pakistan,"GOURMETFOODS-AS-AP - Gourmet Foods, PK",,no-result,,,
nacp.gov.pk,203.82.55.53,Pakistan,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",,no-result,,,
nhsrc.gov.pk,203.101.184.91,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",,no-result,,,
pims.gov.pk,203.101.184.84,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",,no-result,,,
fauji.com.pk,124.109.54.66,Pakistan,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",,no-result,,,
goto.com.pk,116.0.44.219,Pakistan,"TELECARD-AS-AP - Telecard Limited, PK",,no-result,,,
psl.com.pk,115.186.173.250,Pakistan,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",,no-result,,,
