date,domain,query_type,ip,reverse_dns,os,asn,as_name,country,city,software,services,matched_field,matched_value,match_port,cert_not_after,is_pk_asn,verdict,notes,domain_summary
2026-09-22,insta.com.pk,exact_or_subdomain,103.131.215.9,,Canonical Linux,138368,INSTACOMPVTLTD-AS-AP - INSTACOM Pvt. LTD,PK,"Multan, Punjab","Openbsd Openssh, Apache Http Server, Postgresql","22/SSH, 80/HTTP, 5432/POSTGRES",host.services.cert.parsed.subject.common_name,radius.insta.com.pk,5432,,TRUE,confirmed real PK infra,See insta.com.pk domain_summary on first row.,
2026-09-22,insta.com.pk,exact_or_subdomain,103.131.215.14,,,138368,INSTACOMPVTLTD-AS-AP - INSTACOM Pvt. LTD,PK,"Multan, Punjab","F5 Nginx, Getbootstrap Bootstrap, Jquery","22/SSH, 80/HTTP, 5060/SIP, 443/HTTP",host.services.cert.parsed.subject.common_name,vpanel.insta.com.pk,443,,TRUE,confirmed real PK infra,See insta.com.pk domain_summary on first row.,
2026-09-22,insta.com.pk,exact_or_subdomain,103.131.215.13,,Canonical Linux,138368,INSTACOMPVTLTD-AS-AP - INSTACOM Pvt. LTD,PK,"Multan, Punjab","Openbsd Openssh, F5 Nginx, Encode Uvicorn","22/SSH, 80/HTTP, 443/HTTP, 8080/HTTP, 8443/HTTP, 8444/HTTP",host.services.cert.parsed.subject.common_name,tac.insta.com.pk,443,,TRUE,confirmed real PK infra,See insta.com.pk domain_summary on first row.,
2026-09-22,nawaiwaqt.com.pk,exact_or_subdomain,65.109.88.147,,,24940,HETZNER-AS - Hetzner Online GmbH,FI,"Helsinki, Uusimaa",Varnish Cache,"80/HTTP, 443/HTTP",host.services.cert.parsed.subject.common_name,beta.nawaiwaqt.com.pk,443,,FALSE,confirmed abroad only,"Same IP family already on file in targets_corrected.csv for this site. Hetzner box running Varnish directly, no PK presence.",
2026-09-22,pessi.gop.pk,exact_or_subdomain,,,,,,,,,,,,,,,,no cert found in Censys (exact and wildcard both empty),
2026-09-22,pgf.com.pk,exact_or_subdomain,,,,,,,,,,,,,,,,no cert found in Censys (exact and wildcard both empty),
2026-09-22,publicnews.com,exact_or_subdomain,,,,,,,,,,,,,,,,no cert found in Censys,
2026-09-22,scouted-today.pk,exact_or_subdomain,178.20.44.18,,Canonical Linux,48282,VDSINA-AS - Hosting technology LTD,RU,Moscow,"Exim, Powerdns, Apache Http Server, Dovecot, Wordpress, Cpanel, Roundcube Webmail","22/SSH, 25/SMTP, 53/DNS, 80/HTTP, 110/POP3, 143/IMAP, 443/HTTP, 587/SMTP, 993/IMAP, 2077-2095/cPanel ports",host.services.cert.parsed.subject.common_name,scouted-today.pk,443,,FALSE,confirmed abroad only,"Different IP than targets_corrected.csv (185.178.208.132, Rostov-on-Don), same provider VDSINA, likely account moved. Shared cPanel box also serving publicnews.com on the same cert/account.",
2026-09-22,en.dailypakistan.com.pk,exact_or_subdomain,65.109.77.254,,,24940,HETZNER-AS - Hetzner Online GmbH,FI,"Helsinki, Uusimaa",Varnish Cache,"80/HTTP, 443/HTTP",host.services.cert.parsed.subject.common_name,dailypakistan.com.pk,443,,FALSE,confirmed abroad only,Searched via parent domain dailypakistan.com.pk. Hetzner box running Varnish directly no PK presence.,
2026-09-22,duet.edu.pk,exact_or_subdomain,13.212.166.186,ec2-13-212-166-186.ap-southeast-1.compute.amazonaws.com,Canonical Linux,16509,AMAZON-02 - Amazon.com Inc,SG,Singapore,"Openbsd Openssh, Apache Http Server",22/SSH,host.services.cert.parsed.subject.common_name,admission.duet.edu.pk,443,,FALSE,confirmed abroad only,AWS Singapore admissions-portal subdomain no PK presence.,
2026-09-22,uvas.edu.pk,exact_or_subdomain,111.68.105.203,,Microsoft Windows,45773,HECPERN-AS-PK - PERN AS Content Service Provider,PK,"Lahore, Punjab","Microsoft Http Api, Microsoft Sql Server, Oracle Mysql","80/HTTP, 135/DCERPC, 139/UNKNOWN, 445/SMB, 1433/MSSQL, 3306/MYSQL, 3389/RDP, 5985/WINRM, 443/HTTP, 47001/HTTP",host.services.cert.parsed.subject.common_name,milk.uvas.edu.pk,443,,TRUE,confirmed real PK infra,"University's own server on PERN (Pakistan's HEC academic network), Lahore. Distinct from wherever the main public site is hosted (Vilnius per original GeoIP classification). Database and RDP/WinRM exposed directly to internet, worth flagging separately as a security-exposure note if relevant to writeup, not scope of this experiment.","2 IPs found (111.68.105.203/212), both AS45773 HECPERN-AS-PK, Lahore."
2026-09-22,uvas.edu.pk,exact_or_subdomain,111.68.105.212,,Microsoft Windows,45773,HECPERN-AS-PK - PERN AS Content Service Provider,PK,"Lahore, Punjab","Microsoft Asp.Net, Microsoft Internet Information Services, Microsoft Http Api","80/HTTP, 443/HTTP",host.services.cert.parsed.subject.common_name,soft.uvas.edu.pk,443,,TRUE,confirmed real PK infra,See uvas.edu.pk domain_summary on first row.,
2026-09-22,ke.com.pk,wildcard,,,,,"Microsoft Azure (Singapore), AWS (Singapore), ManagedWay AS53292 (Troy MI / Campbell CA / Amsterdam)",,,,,,host.services.cert.parsed.subject.common_name,*.ke.com.pk,,,FALSE,confirmed abroad only,"57 distinct hosts returned on the wildcard cert query, all abroad, none Pakistani. Breakdown: Microsoft Corp (Azure, mostly Singapore some global), AWS Elastic Load Balancing (Singapore), and third-party vendor ManagedWay AS53292 (Troy MI / Campbell CA / Amsterdam NL) presumably a SCADA/customer-portal vendor for K-Electric. No cPanel/shared hosting pattern, no PK ASN anywhere. Large legitimate org, footprint size expected, but confirmed zero PK presence via this method.",
2026-09-22,gbappsup.org.pk,exact_or_subdomain,,,,,,,,,,,,,,,,no cert found in Censys,
2026-09-22,kppsc.gov.pk,exact_or_subdomain,195.201.80.141,server.kppsc.gov.pk,,24940,HETZNER-AS - Hetzner Online GmbH,DE,"Falkenstein, Saxony","Pureftpd Pure-Ftpd, Openbsd Openssh, Exim, Powerdns, F5 Nginx, Apache Http Server, Dovecot, Cpanel, Roundcube Webmail","21/FTP, 22/SSH, 25/SMTP, 53/DNS, 80/HTTP, 443/HTTP, 587/SMTP, 993/IMAP, 995/POP3, plus cPanel ports",host.services.cert.parsed.subject.common_name,ig.server.kppsc.gov.pk,"587, 995",,FALSE,confirmed abroad only,Same IP already on file in targets_corrected.csv for this site. Shared cPanel/WHM box no PK presence.,
2026-09-22,ptea.org.pk,exact_or_subdomain,,,,,,,,,,,,,,,,no cert found in Censys,
2026-09-22,serenepharma.com.pk,exact_or_subdomain,52.211.81.244,ec2-52-211-81-244.eu-west-1.compute.amazonaws.com,,16509,AMAZON-02 - Amazon.com Inc,IE,"Dublin, Leinster",Apache Tomcat,"443/HTTP, 3389/RDP, 8080/HTTP",host.services.cert.parsed.subject.common_name,erp.serenepharma.com.pk,443,,FALSE,confirmed abroad only,AWS Dublin ERP portal subdomain no PK presence.,
