# Pakistani Websites — Extended Measurement Target List
# Total: 1877 domains
# Compiled June 2026 for RIPE Atlas routing study
# Sources: manual curation + CitizenLab PK test list
# Format: hostname,label,category
# ---------------------------------------------------

# ── GOVERNMENT (285 sites)
mocc.gov.pk,Mocc,government
mofa.gov.pk,Mofa,government
mofept.gov.pk,Mofept,government
mohr.gov.pk,Mohr,government
moitt.gov.pk,Moitt,government
mopdc.gov.pk,Mopdc,government
mora.gov.pk,Mora,government
motorway.gov.pk,Motorway,government
multan.gov.pk,Multan,government
muzaffarabad.gov.pk,Muzaffarabad,government
na.gov.pk,Na,government
nab.gov.pk,Nab,government
nadra.gov.pk,Nadra,government
nankana-sahib.gov.pk,Nankana Sahib,government
narcotics.gov.pk,Narcotics,government
navtcc.gov.pk,Navtcc,government
nawabshah.gov.pk,Nawabshah,government
nchr.gov.pk,Nchr,government
ncsw.gov.pk,Ncsw,government
ndma.gov.pk,Ndma,government
nepra.gov.pk,Nepra,government
netherlandsworldwide.nl,Netherlandsworldwide,government
nha.gov.pk,Nha,government
nhmp.gov.pk,Nhmp,government
nic.org.pk,Nic,government
nips.org.pk,Nips,government
nitb.gov.pk,Nitb,government
nlc.com.pk,Nlc,government
nowshera.gov.pk,Nowshera,government
npb.gov.pk,Npb,government
npcc.com.pk,Npcc,government
nr3c.gov.pk,Nr3C,government
nrb.gov.pk,Nrb,government
ntc.net.pk,Ntc,government
ntdc.com.pk,Ntdc,government
ntdc.gov.pk,Ntdc,government
ogdcl.com,Ogdcl,government
ogra.gov.pk,Ogra,government
ohchr.org,Ohchr,government
oicci.org,Oicci,government
okara.gov.pk,Okara,government
overseas.gov.pk,Overseas,government
pabalochistan.gov.pk,Pabalochistan,government
paec.gov.pk,Paec,government
paf.gov.pk,Paf,government
pakistan.diplo.de,Pakistan,government
pakistan.embassy.gov.au,Pakistan,government
pakistan.gov.pk,Pakistan,government
pakmet.com.pk,Pakmet,government
paknavy.gov.pk,Paknavy,government
pakp.gov.pk,Pakp,government
pakpattan.gov.pk,Pakpattan,government
pap.gov.pk,Pap,government
parc.gov.pk,Parc,government
parco.com.pk,Parco,government
pas.gov.pk,Pas,government
pbs.gov.pk,Pbs,government
pcb.com.pk,Pcb,government
pcci.com.pk,Pcci,government
pcret.gov.pk,Pcret,government
pcsir.gov.pk,Pcsir,government
pcsw.punjab.gov.pk,Pcsw,government
pdma.gop.pk,Pdma,government
pec.org.pk,Pec,government
pemra.gov.pk,Pemra,government
pesco.com.pk,Pesco,government
peshawar.gov.pk,Peshawar,government
peshawarhighcourt.gov.pk,Peshawarhighcourt,government
pessi.com.pk,Pessi,government
petroleum.gov.pk,Petroleum,government
phd.gop.pk,Phd,government
phed.gop.pk,Phed,government
phed.gov.pk,Phed,government
pia.com.pk,Pia,government
pid.gov.pk,Pid,government
piqc.com.pk,Piqc,government
pitb.gov.pk,Pitb,government
pitc.com.pk,Pitc,government
pk.ambafrance.org,Pk,government
pk.chineseembassy.org,Pk,government
pk.undp.org,Pk,government
pk.usembassy.gov,Pk,government
pkl.com.pk,Pkl,government
planning.gov.pk,Planning,government
pmdc.org.pk,Pmdc,government
pmo.gov.pk,Pmo,government
pnsc.com.pk,Pnsc,government
ports.gov.pk,Ports,government
ppa.gov.pk,Ppa,government
ppaf.org.pk,Ppaf,government
ppib.gov.pk,Ppib,government
ppl.com.pk,Ppl,government
pportal.gov.pk,Pportal,government
ppra.gov.pk,Ppra,government
pra.gop.pk,Pra,government
pral.com.pk,Pral,government
president.gov.pk,President,government
prsp.org.pk,Prsp,government
pseb.org.pk,Pseb,government
pso.com.pk,Pso,government
psqca.org.pk,Psqca,government
pta.gov.pk,Pta,government
ptv.com.pk,Ptv,government
punjab.gov.pk,Punjab,government
qesco.com.pk,Qesco,government
quetta.gov.pk,Quetta,government
rahim-yar-khan.gov.pk,Rahim Yar Khan,government
railway.gov.pk,Railway,government
rangers.gov.pk,Rangers,government
rawalpindi.gov.pk,Rawalpindi,government
religious.gov.pk,Religious,government
rop.gov.pk,Rop,government
rspn.org.pk,Rspn,government
sacgb.gov.pk,Sacgb,government
safron.gov.pk,Safron,government
sahiwal.gov.pk,Sahiwal,government
sargodha.gov.pk,Sargodha,government
sbp.org.pk,Sbp,government
scci.com.pk,Scci,government
science.gov.pk,Science,government
secp.gov.pk,Secp,government
senate.gov.pk,Senate,government
sepco.com.pk,Sepco,government
sessi.com.pk,Sessi,government
sheikhupura.gov.pk,Sheikhupura,government
sialkot.gov.pk,Sialkot,government
sindh.gov.pk,Sindh,government
sindhhighcourt.gov.pk,Sindhhighcourt,government
smeda.org.pk,Smeda,government
sngpl.com.pk,Sngpl,government
so.gov.pk,So,government
ssgcl.com.pk,Ssgcl,government
stza.gov.pk,Stza,government
sukkur.gov.pk,Sukkur,government
suparco.gov.pk,Suparco,government
supremecourt.gov.pk,Supremecourt,government
swhb.gov.pk,Swhb,government
tdap.gov.pk,Tdap,government
tesco.com.pk,Tesco,government
textile.gov.pk,Textile,government
toba-tek-singh.gov.pk,Toba Tek Singh,government
unesco.org.pk,Unesco,government
unic.org.pk,Unic,government
vehari.gov.pk,Vehari,government
vfsglobal.ch,Vfsglobal,government
wah.gov.pk,Wah,government
wapda.gov.pk,Wapda,government
wasa.com.pk,Wasa,government
water.gov.pk,Water,government
zarai-taraqiati.com.pk,Zarai Taraqiati,government
ztbl.com.pk,Ztbl,government

# ── NEWS & MEDIA (324 sites)
24newshd.com,24Newshd,news
24newshd.tv,24Newshd,news
92newshd.tv,92Newshd,news
aaj.com.pk,Aaj,news
aajnews.tv,Aajnews,news
aapnews.pk,Aapnews,news
abbtakk.tv,Abbtakk,news
abovethenorm.pk,Abovethenorm,news
afghanistantimes.af,Afghanistantimes,news
afghanlive.tv,Afghanlive,news
afghanwarrior.com,Afghanwarrior,news
alqalamonline.com,Alqalamonline,news
apnagilgit.com,Apnagilgit,news
apnapk.org,Apnapk,news
apns.com.pk,Apns,news
app.com.pk,App,news
apppakistan.com.pk,Apppakistan,news
arynews.tv,Arynews,news
aurora.com.pk,Aurora,news
aurora.dawn.com,Aurora,news
ausaf.com.pk,Ausaf,news
avt.pk,Avt,news
awamiawaz.com,Awamiawaz,news
awaz.pk,Awaz,news
awaztoday.pk,Awaztoday,news
awaztoday.tv,Awaztoday,news
azaadkashmir.pk,Azaadkashmir,news
balochi.pk,Balochi,news
balochistanaffairs.com,Balochistanaffairs,news
balochunitedfront.org,Balochunitedfront,news
balochwarna.com,Balochwarna,news
balouch.blogspot.com,Balouch,news
baltistan.pk,Baltistan,news
baluch.com,Baluch,news
banglavision.tv,Banglavision,news
bbc.co.uk,Bbc,news
bbc.com,Bbc,news
bbcurdu.com,Bbcurdu,news
bloggerspk.com,Bloggerspk,news
blogspot.com.pk,Blogspot,news
bolnetwork.com,Bolnetwork,news
bolnews.com,Bolnews,news
bolnews.pk,Bolnews,news
bolobhi.org,Bolobhi,news
bolojawan.com,Bolojawan,news
borgenproject.org,Borgenproject,news
brecorder.com,Brecorder,news
businesspk.com,Businesspk,news
businessplus.pk,Businessplus,news
businessrecorder.com,Businessrecorder,news
bvnews24.com,Bvnews24,news
capital.tv,Capital,news
capital.tv.com.pk,Capital,news
channel24.pk,Channel24,news
channelionline.com,Channelionline,news
channelsevenews.com,Channelsevenews,news
chitral.net.pk,Chitral,news
chitraltimes.com,Chitraltimes,news
city42.tv,City42,news
citymasala.com,Citymasala,news
citymasala.pk,Citymasala,news
content.pk,Content,news
correspondent.com.pk,Correspondent,news
correspondent.pk,Correspondent,news
counterpunch.org,Counterpunch,news
coveringnews.pk,Coveringnews,news
cpne.com.pk,Cpne,news
daily.urdupoint.com,Daily,news
dailyamardesh.com,Dailyamardesh,news
dailyausaf.com,Dailyausaf,news
dailybruin.com,Dailybruin,news
dailycapital.pk,Dailycapital,news
dailyinqilab.com,Dailyinqilab,news
dailyjang.com.pk,Dailyjang,news
dailyjiddat.com,Dailyjiddat,news
dailyk2.com,Dailyk2,news
dailykhabrain.com.pk,Dailykhabrain,news
dailymotion.com.pk,Dailymotion,news
dailypakistan.com.pk,Dailypakistan,news
dailytimes.com.pk,Dailytimes,news
dailytimeskp.com,Dailytimeskp,news
dawn.com,Dawn,news
dawnbreakingnews.pk,Dawnbreakingnews,news
dawnnews.tv,Dawnnews,news
dbcnews.tv,Dbcnews,news
digitaltoday.pk,Digitaltoday,news
dikhawa.pk,Dikhawa,news
dnanews.com.pk,Dnanews,news
dunya.com.pk,Dunya,news
dunya.tv,Dunya,news
dunyanews.tv,Dunyanews,news
dwelle.eu,Dwelle,news
dwturkce.com,Dwturkce,news
economytoday.pk,Economytoday,news
ekattor.tv,Ekattor,news
en.dailypakistan.com.pk,En,news
english.news.cn,English,news
enmnews.com,Enmnews,news
epaper.pk,Epaper,news
express.com.pk,Express,news
express.pk,Express,news
expressindia.com,Expressindia,news
expressurdu.com,Expressurdu,news
eyenewsnetwork.com,Eyenewsnetwork,news
fata.pk,Fata,news
firstpost.com,Firstpost,news
fm91.com.pk,Fm91,news
forbesasia.pk,Forbesasia,news
foxnews.com,Foxnews,news
gandhara.rferl.org,Gandhara,news
geo.tv,Geo,news
gilgit.com.pk,Gilgit,news
globaltimes.cn,Globaltimes,news
globalvillage.pk,Globalvillage,news
globalvillagespace.com,Globalvillagespace,news
globalvoicesonline.org,Globalvoicesonline,news
gnnhd.tv,Gnnhd,news
goonj.pk,Goonj,news
guides.library.duq.edu,Guides,news
hamarainternet.org,Hamarainternet,news
hamariweb.com,Hamariweb,news
haryananews.pk,Haryananews,news
headlines.pk,Headlines,news
hindustantimes.com,Hindustantimes,news
humnews.pk,Humnews,news
humsub.com.pk,Humsub,news
ibctamil.com,Ibctamil,news
ifj.org.pk,Ifj,news
imroze.pk,Imroze,news
independent.com.pk,Independent,news
independenturdu.com,Independenturdu,news
indianexpress.com,Indianexpress,news
indiatoday.in,Indiatoday,news
indiatvnews.com,Indiatvnews,news
inews.com.pk,Inews,news
insidevoa.com,Insidevoa,news
ipsnews.net,Ipsnews,news
iran-daily.com,Iran Daily,news
irannewsdaily.com,Irannewsdaily,news
iranpress.com,Iranpress,news
irib.ir,Irib,news
islamabadpost.com.pk,Islamabadpost,news
israel.tv,Israel,news
itunes.apple.com,Itunes,news
jamuna.tv,Jamuna,news
jang.com.pk,Jang,news
janggroup.com.pk,Janggroup,news
jasarat.com,Jasarat,news
jasarat.com.pk,Jasarat,news
jctv.org.pk,Jctv,news
jihadwatch.org,Jihadwatch,news
jinnah.com.pk,Jinnah,news
karachiblogs.com,Karachiblogs,news
karachitoday.net,Karachitoday,news
khabarial.com,Khabarial,news
khabaryar.pk,Khabaryar,news
khabrain.com,Khabrain,news
khyber.org,Khyber,news
khybernews.tv,Khybernews,news
ktn.com.pk,Ktn,news
ktntv.tv,Ktntv,news
lahoreblogs.com,Lahoreblogs,news
lahorpost.com,Lahorpost,news
live.abbtakk.tv,Live,news
live.arynews.tv,Live,news
live.express.pk,Live,news
live.geo.tv,Live,news
live.newsone.tv,Live,news
live.samaa.tv,Live,news
maktoobmedia.com,Maktoobmedia,news
mangobaaz.com,Mangobaaz,news
marketwatch.com.pk,Marketwatch,news
marxistreview.asia,Marxistreview,news
masala.com,Masala,news
masalatv.com,Masalatv,news
mashaalradio.com,Mashaalradio,news
mashriq.com.pk,Mashriq,news
mashriqtv.pk,Mashriqtv,news
media.com.pk,Media,news
medialine.com.pk,Medialine,news
medialine.pk,Medialine,news
mediamonitor.pk,Mediamonitor,news
mediawatch.com.pk,Mediawatch,news
mediawatch.pk,Mediawatch,news
millat.com,Millat,news
millat.com.pk,Millat,news
mjunoon.tv,Mjunoon,news
mohona.tv,Mohona,news
moneypk.com,Moneypk,news
muckrack.com,Muckrack,news
munsif.com.pk,Munsif,news
naibaat.pk,Naibaat,news
natcour.com,Natcour,news
nation.com.pk,Nation,news
nation.pk,Nation,news
nawaeafghan.weebly.com,Nawaeafghan,news
nawaiwaqt.com.pk,Nawaiwaqt,news
nayadaur.tv,Nayadaur,news
ndtv.com,Ndtv,news
neo.tv,Neo,news
newindianexpress.com,Newindianexpress,news
newline.pk,Newline,news
newslinemagazine.com,Newslinemagazine,news
newsmaker.pk,Newsmaker,news
newsone.tv,Newsone,news
newspakistan.tv,Newspakistan,news
newspk.com,Newspk,news
newspoint.pk,Newspoint,news
newsreporter.pk,Newsreporter,news
newsroom.pk,Newsroom,news
newsweek.pk,Newsweek,news
nydailynews.com,Nydailynews,news
onepakistan.com.pk,Onepakistan,news
opinion.com.pk,Opinion,news
outlookindia.com,Outlookindia,news
oxcg.com.pk,Oxcg,news
oxcgnews.com,Oxcgnews,news
pajhwok.com,Pajhwok,news
pak101.com,Pak101,news
pakdefense.com,Pakdefense,news
pakdestiny.com,Pakdestiny,news
pakistan24.tv,Pakistan24,news
pakistanaffairs.pk,Pakistanaffairs,news
pakistaniblogger.com,Pakistaniblogger,news
pakistanpoint.com,Pakistanpoint,news
pakistanpressfoundation.org,Pakistanpressfoundation,news
pakistantoday.com.pk,Pakistantoday,news
pakobserver.net,Pakobserver,news
pakpositive.com,Pakpositive,news
pakvoice.pk,Pakvoice,news
pakwatan.com,Pakwatan,news
pamirtimes.net,Pamirtimes,news
parhlo.com,Parhlo,news
parstimes.com,Parstimes,news
pashto.pk,Pashto,news
pashtoonnews.com,Pashtoonnews,news
pashtunexpress.com,Pashtunexpress,news
pba.org.pk,Pba,news
pfuj.org.pk,Pfuj,news
pkblogs.com,Pkblogs,news
pknews.tv,Pknews,news
pknewspaper.com,Pknewspaper,news
pressbriefing.pk,Pressbriefing,news
pressreader.com,Pressreader,news
pressrelease.pk,Pressrelease,news
profit.pakistantoday.com.pk,Profit,news
propakistani.pk,Propakistani,news
propergaanda.com,Propergaanda,news
prpakistan.com,Prpakistan,news
publicnews.com,Publicnews,news
publictv.in,Publictv,news
pukhtoogle.com,Pukhtoogle,news
punjabi.pk,Punjabi,news
qudrat.com.pk,Qudrat,news
rabwah.net,Rabwah,news
radio.com.pk,Radio,news
radio.gov.pk,Radio,news
raftar.com,Raftar,news
reporter.com.pk,Reporter,news
reporterpk.com,Reporterpk,news
republicworld.com,Republicworld,news
rferl.org,Rferl,news
rozenama.pk,Rozenama,news
roznama.com.pk,Roznama,news
roznama.pk,Roznama,news
roznamadunia.pk,Roznamadunia,news
sabawoon.com,Sabawoon,news
sach.pk,Sach,news
safenewsrooms.org,Safenewsrooms,news
sahilonline.org,Sahilonline,news
samaadigital.com,Samaadigital,news
samaatv.com,Samaatv,news
sanalist.org,Sanalist,news
sarcasmistan.pk,Sarcasmistan,news
shamshadtv.tv,Shamshadtv,news
siasat.pk,Siasat,news
sindhi.pk,Sindhi,news
somoynews.tv,Somoynews,news
starzplay.pk,Starzplay,news
suchtv.pk,Suchtv,news
sunonews.tv,Sunonews,news
techmedia.pk,Techmedia,news
teeth.com.pk,Teeth,news
tehrantimes.com,Tehrantimes,news
theazb.com,Theazb,news
thefridaytimes.com,Thefridaytimes,news
thefrontierpost.com,Thefrontierpost,news
thehindubusinessline.com.pk,Thehindubusinessline,news
thekashmirwalla.com,Thekashmirwalla,news
thenation.com.pk,Thenation,news
thenews.com.pk,Thenews,news
thenews.pk,Thenews,news
thepost.com.pk,Thepost,news
theprint.in,Theprint,news
thewire.in,Thewire,news
timesnownews.com,Timesnownews,news
timesofislamabad.com,Timesofislamabad,news
tnn.com.pk,Tnn,news
tolonews.com,Tolonews,news
topnews.pk,Topnews,news
topstories.com.pk,Topstories,news
tribal.pk,Tribal,news
tribalpost.pk,Tribalpost,news
tribune.com.pk,Tribune,news
trt.global,Trt,news
tvisraellive.com,Tvisraellive,news
ummat.com.pk,Ummat,news
ummat.net,Ummat,news
urdukhaber.pk,Urdukhaber,news
urdunews.com,Urdunews,news
urdupoint.com,Urdupoint,news
voadeewanews.com,Voadeewanews,news
voiceofamerica.pk,Voiceofamerica,news
voiceofinternet.com,Voiceofinternet,news
voj.news,Voj,news
waqtnews.pk,Waqtnews,news
waqtnews.tv,Waqtnews,news
waziristantimes.com,Waziristantimes,news
weeklypulse.pk,Weeklypulse,news
wordpress.com.pk,Wordpress,news
wwitv.com,Wwitv,news
youtube.com.pk,Youtube,news
youtubers.pk,Youtubers,news
zeenews.india.com,Zeenews,news

# ── BANKING & FINTECH (57 sites)
1bill.com.pk,1Bill,banking
abamco.com,Abamco,banking
adamjeeinsurance.com,Adamjeeinsurance,banking
albaraka.com.pk,Albaraka,banking
alfalahamc.com,Alfalahamc,banking
alfalahghp.com,Alfalahghp,banking
apnabank.com.pk,Apnabank,banking
askaribank.com.pk,Askaribank,banking
bankalfalah.com,Bankalfalah,banking
bankislami.com.pk,Bankislami,banking
bankofkhyber.com.pk,Bankofkhyber,banking
bop.com.pk,Bop,banking
citi.com.pk,Citi,banking
easypaisa.com.pk,Easypaisa,banking
efuinsurance.com,Efuinsurance,banking
faysal.com,Faysal,banking
firstmicrofinancebank.com.pk,Firstmicrofinancebank,banking
fundmanager.com.pk,Fundmanager,banking
gallup.com.pk,Gallup,banking
habibmetro.com,Habibmetro,banking
hbl.com,Hbl,banking
hblassetmanagement.com,Hblassetmanagement,banking
investing.com.pk,Investing,banking
jazzcash.com.pk,Jazzcash,banking
jlife.com.pk,Jlife,banking
jubileeinsurance.com,Jubileeinsurance,banking
kalpoint.com,Kalpoint,banking
khushhalibank.com.pk,Khushhalibank,banking
kse.com.pk,Kse,banking
mcb.com.pk,Mcb,banking
meezanbank.com,Meezanbank,banking
mobilink.com.pk,Mobilink,banking
mudarabah.com.pk,Mudarabah,banking
mufap.com.pk,Mufap,banking
mybank.com.pk,Mybank,banking
myleadsystempro.com,Myleadsystempro,banking
nayapay.com,Nayapay,banking
nbpfund.com,Nbpfund,banking
nccpl.com.pk,Nccpl,banking
ngc.com.pk,Ngc,banking
nrsp.org.pk,Nrsp,banking
packages.com.pk,Packages,banking
pakistaneconomist.com,Pakistaneconomist,banking
psx.com.pk,Psx,banking
rozgar.com.pk,Rozgar,banking
sadapay.com,Sadapay,banking
silkbank.com.pk,Silkbank,banking
smbl.com.pk,Smbl,banking
soneri.com,Soneri,banking
standardchartered.com.pk,Standardchartered,banking
telenorbank.com.pk,Telenorbank,banking
tmfb.com.pk,Tmfb,banking
ubank.com.pk,Ubank,banking
ubldigital.com,Ubldigital,banking
utp.com.pk,Utp,banking
www2.fundsforngos.org,Www2,banking
zindagilife.com.pk,Zindagilife,banking

# ── E-COMMERCE (169 sites)
4stockpk.com,4Stockpk,ecommerce
7up.pk,7Up,ecommerce
agripak.com,Agripak,ecommerce
alfatah.com.pk,Alfatah,ecommerce
alfatah.pk,Alfatah,ecommerce
alibaba.com.pk,Alibaba,ecommerce
aliexpress.com.pk,Aliexpress,ecommerce
alkaram.com,Alkaram,ecommerce
always.pk,Always,ecommerce
amazon.com.pk,Amazon,ecommerce
apple.com.pk,Apple,ecommerce
ariel.pk,Ariel,ecommerce
arts.pk,Arts,ecommerce
automax.pk,Automax,ecommerce
autostore.pk,Autostore,ecommerce
bagallery.com,Bagallery,ecommerce
bakeries.pk,Bakeries,ecommerce
bareeze.com,Bareeze,ecommerce
bata.com.pk,Bata,ecommerce
bazaar.pk,Bazaar,ecommerce
bigmart.pk,Bigmart,ecommerce
bikepk.com,Bikepk,ecommerce
bol.pk,Bol,ecommerce
bonanza.com.pk,Bonanza,ecommerce
books.pk,Books,ecommerce
bookspk.com,Bookspk,ecommerce
bookstreet.pk,Bookstreet,ecommerce
borjan.com.pk,Borjan,ecommerce
brandseas.pk,Brandseas,ecommerce
breakout.com.pk,Breakout,ecommerce
brufen.pk,Brufen,ecommerce
buyon.pk,Buyon,ecommerce
buyoye.pk,Buyoye,ecommerce
cakes.pk,Cakes,ecommerce
calpol.pk,Calpol,ecommerce
cameras.pk,Cameras,ecommerce
carparts.pk,Carparts,ecommerce
carrefour.pk,Carrefour,ecommerce
chasevaluecentre.com,Chasevaluecentre,ecommerce
clickmob.pk,Clickmob,ecommerce
cocacola.pk,Cocacola,ecommerce
computerzone.pk,Computerzone,ecommerce
crafts.pk,Crafts,ecommerce
crossroads.com.pk,Crossroads,ecommerce
czone.com.pk,Czone,ecommerce
daraz.pk,Daraz,ecommerce
dell.com.pk,Dell,ecommerce
disprin.pk,Disprin,ecommerce
eastbay.pk,Eastbay,ecommerce
ebay.com.pk,Ebay,ecommerce
ecenturystore.com,Ecenturystore,ecommerce
egoods.pk,Egoods,ecommerce
electroworld.pk,Electroworld,ecommerce
elegance.com.pk,Elegance,ecommerce
engro.com,Engro,ecommerce
ethnicbyoutfitters.com,Ethnicbyoutfitters,ecommerce
etsy.com.pk,Etsy,ecommerce
farmerspk.com,Farmerspk,ecommerce
flagyl.pk,Flagyl,ecommerce
flipkart.pk,Flipkart,ecommerce
flowers.pk,Flowers,ecommerce
freshmart.pk,Freshmart,ecommerce
garagerepair.pk,Garagerepair,ecommerce
gems.pk,Gems,ecommerce
getnow.pk,Getnow,ecommerce
gifts.pk,Gifts,ecommerce
giftsend.pk,Giftsend,ecommerce
gillette.pk,Gillette,ecommerce
glambrandz.pk,Glambrandz,ecommerce
golootlo.pk,Golootlo,ecommerce
goto.com.pk,Goto,ecommerce
grand.com.pk,Grand,ecommerce
grocerpak.com,Grocerpak,ecommerce
grocery.pk,Grocery,ecommerce
gsk.pk,Gsk,ecommerce
gujranwala-foods.pk,Gujranwala Foods,ecommerce
gul-ahmed.com,Gul Ahmed,ecommerce
gulahmedshop.com,Gulahmedshop,ecommerce
hafeez.com.pk,Hafeez,ecommerce
handmade.pk,Handmade,ecommerce
head-shoulders.pk,Head Shoulders,ecommerce
homeaccessories.pk,Homeaccessories,ecommerce
homeappliances.pk,Homeappliances,ecommerce
homecenter.com.pk,Homecenter,ecommerce
homehut.pk,Homehut,ecommerce
homeshopping.pk,Homeshopping,ecommerce
hp.com.pk,Hp,ecommerce
huawei.com.pk,Huawei,ecommerce
hushpuppies.com.pk,Hushpuppies,ecommerce
hyperstar.pk,Hyperstar,ecommerce
ideas.com.pk,Ideas,ecommerce
imtiaz.pk,Imtiaz,ecommerce
indiapost.gov.in,Indiapost,ecommerce
infinix.pk,Infinix,ecommerce
ishopping.pk,Ishopping,ecommerce
itel.com.pk,Itel,ecommerce
j-designs.pk,J Designs,ecommerce
jafferjees.com,Jafferjees,ecommerce
jewelry.pk,Jewelry,ecommerce
khaadi.com,Khaadi,ecommerce
laksongroup.com,Laksongroup,ecommerce
lenovo.com.pk,Lenovo,ecommerce
liberty.com.pk,Liberty,ecommerce
libertybooks.com,Libertybooks,ecommerce
limelight.com.pk,Limelight,ecommerce
listerine.pk,Listerine,ecommerce
logitech.com.pk,Logitech,ecommerce
mega.pk,Mega,ecommerce
merikheti.pk,Merikheti,ecommerce
metro.pk,Metro,ecommerce
microsoft.com.pk,Microsoft,ecommerce
mitchell.pk,Mitchell,ecommerce
