domain,ip,asn,as_name,netname,reason
statemindpath.com,182.176.156.8,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
knowtrailblaze.com,182.176.156.17,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
languagelearninginc.com,182.176.156.11,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
twayair.com,182.176.156.11,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
dcloud.io,72.255.2.54,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",APNIC,resolver-mismatch
healthshots.com,182.176.156.11,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
tre-sp.jus.br,182.176.156.9,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
zloong.com,72.255.2.14,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",APNIC,resolver-mismatch
storyboard18.com,182.176.155.19,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
huion.com,182.176.156.17,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
kwai-video.com,182.176.156.18,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
syria.tv,182.176.156.16,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
hok5v5.com,72.255.2.14,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",APNIC,resolver-mismatch
wikifx.com,182.176.156.8,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
gamspace.xyz,160.250.115.204,137047,"TATMPL-AS-AP - TELECOMMUNICATION AND TECHNOLOGY MASTERS (PVT.) LIMITED, PK",APNIC-ERX-160-233-0-0,resolver-mismatch
sf-international.com,72.255.2.14,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",APNIC,resolver-mismatch
ftr.com,182.176.156.153,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
tataxingqiu.com,72.255.2.54,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",APNIC,resolver-mismatch
maxbet.ba,182.176.156.9,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
flexispot.com,182.176.156.8,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
butantan.gov.br,182.176.156.9,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
livuapp.com,182.176.156.10,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
overseagslb.com,182.176.156.11,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
gruposc.com.br,182.176.156.11,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
bankofgeorgia.ge,182.176.156.9,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
gnttv.com,182.176.156.9,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
pluralism.org,182.176.156.10,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
babigame.cn,72.255.2.12,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",APNIC,resolver-mismatch
aqualand.fr,182.176.155.19,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
bike24.at,182.176.156.10,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
lauritz.com,182.176.156.17,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
playdeadlock.com,182.176.156.17,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
garudafood.co.id,182.176.156.8,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
dailyo.in,182.176.156.8,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
ultrasawt.com,182.176.156.17,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
tvmwebsitecdn.com,182.176.156.17,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
tre-rj.jus.br,182.176.156.19,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
lonacionline.ci,182.176.156.11,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
iposeidoncdn.com,72.255.2.54,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",APNIC,resolver-mismatch
roblox.cn,72.255.2.14,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",APNIC,resolver-mismatch
bike24.es,182.176.156.19,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
yspapp.cn,72.255.2.12,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",APNIC,resolver-mismatch
growin.id,182.176.156.32,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
norman.com,182.176.155.8,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
yunlogin.com,72.255.2.12,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",APNIC,resolver-mismatch
bsee.gov,182.176.156.33,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
