website,hosting,isp_cdn,rank,cisa_sector
iub.edu.pk,Pakistani,HEC,294518,Education
pefsis.edu.pk,Pakistani,PTCL Triple Play Project,95138,Education
iulms.edu.pk,Pakistani,Iqra University,215354,Education
bbise.edu.pk,Pakistani,Wateen Telecom Limited,102173,Education
ibcc.edu.pk,CDN,Cloudflare,607569,Education
zu.edu.pk,CDN,Cloudflare,384473,Education
bnbwu.edu.pk,CDN,Sucuri,666388,Education
uos.edu.pk,CDN,Cloudflare,602396,Education
uvas.edu.pk,Abroad,HOSTINGER (SG),340898,Education
duet.edu.pk,Abroad,Limestone Networks (US),555488,Education
mepco.com.pk,Pakistani,PITC,,Energy
pesco.com.pk,CDN,Cloudflare,,Energy
ke.com.pk,Abroad,ManagedWay (US),173002,Energy
ztbl.com.pk,Pakistani,Cyber Internet Services (Private) Limited,853941,Financial Services
efulife.com,Pakistani,EFU LIFE Assurance Ltd,567489,Financial Services
khushhalibank.com.pk,CDN,AWS CloudFront,,Financial Services
mcb.com.pk,CDN,Sucuri,276384,Financial Services
epads.gov.pk,Pakistani,Pakistan Telecommuication company limited,208609,Government Services & Facilities
cmu.gov.pk,Pakistani,Nayatel (Pvt) Ltd,770706,Government Services & Facilities
fgeha.gov.pk,Pakistani,,,Government Services & Facilities
sindh.gov.pk,Pakistani,National Telecommunication Corporation,353152,Government Services & Facilities
ajk.gov.pk,CDN,Cloudflare,178981,Government Services & Facilities
joinasf.gov.pk,CDN,Cloudflare,794308,Government Services & Facilities
pnmc.gov.pk,CDN,Cloudflare,636332,Government Services & Facilities
paknavy.gov.pk,CDN,Cloudflare,288229,Government Services & Facilities
gbappsup.org.pk,Abroad,Telkom Internet LTD (AZ),635270,Government Services & Facilities
ptea.org.pk,Abroad,WHG Hosting Services Ltd (GB),818906,Government Services & Facilities
kppsc.gov.pk,Abroad,Hetzner Online GmbH (DE),186459,Government Services & Facilities
cpsp.edu.pk,Pakistani,HEC,70696,Healthcare & Public Health
gamcamedical.pk,CDN,Google,783831,Healthcare & Public Health
serenepharma.com.pk,Abroad,Hetzner Online GmbH (FI),825423,Healthcare & Public Health
roadmaster.pk,Pakistani,Pakistan Telecommuication company limited,,Transportation Systems
airblue.com,CDN,Cloudflare,76915,Transportation Systems
